,open,high,low,close,volume,value,range,target,ror,hpr,dd
2022-02-24 09:00:00,45483000.0,48000000.0,42580000.0,46927000.0,15361.05926493,677428293445.7881,2710000.0,,1.0,1.0,0.0
2022-02-25 09:00:00,46854000.0,48500000.0,46555000.0,47831000.0,7745.36379841,367692769588.9642,972500.0,49564000.0,1.0,1.0,0.0
2022-02-26 09:00:00,47830000.0,49010000.0,47200000.0,47809000.0,4412.33689604,211661931303.1995,905000.0,48802500.0,0.9791424363505968,0.9791424363505968,2.0857563649403166
2022-02-27 09:00:00,47850000.0,48576000.0,45695000.0,46358000.0,5879.5153407,278259630244.21466,1440500.0,48755000.0,1.0,0.9791424363505968,2.0857563649403166
2022-02-28 09:00:00,46363000.0,53089000.0,46086000.0,52332000.0,10346.17938543,510345453158.8512,3501500.0,47803500.0,1.094231557312749,1.0714085529589128,0.0
2022-03-01 09:00:00,52332000.0,54777000.0,52004000.0,53790000.0,10899.50680906,580017405666.1804,1386500.0,55833500.0,1.0,1.0714085529589128,0.0
2022-03-02 09:00:00,53789000.0,54261000.0,53222000.0,53777000.0,1119.2288675,60001147264.06351,519500.0,55175500.0,1.0,1.0714085529589128,0.0
